protein,control_1,control_2,control_3,obesity_1,obesity_2,obesity_3
P61458,884450000,759620000,796020000,925170000,1155000000,1149700000
P61514,474050000,302660000,208960000,NA,NA,63802000
P61620;Q9JLR1,764780000,1057500000,1199800000,269680000,303380000,90041000
P61750,160290000,NA,NA,NA,290820000,290260000
P61804,485440000,407790000,386990000,332490000,296010000,394010000
P61922,613610000,1136200000,875740000,590350000,672820000,573610000
P61924,59068000,NA,NA,56607000,95047000,85892000
P61961,176530000,197390000,180710000,79429000,127760000,1955300000
P61967,NA,NA,NA,83357000,78176000,47636000
P61979,9413400000,6502399999.999999,9929500000,12468000000,11609000000,11247000000
P61982,380730000,616370000,712950000,477440000,716660000,474450000
P62071,60843000,77326000,65183000,157550000,25867000,NA
P62075,209800000,392260000,NA,299630000,569580000,535560000
P62077,NA,130170000,NA,126050000,76369000,104890000
P62082,1130800000,1497199999.9999998,1413700000,470770000,83032000,577520000
P62137,103250000,99540000,134040000,36827000,NA,126190000
P62192,285270000,306210000,230790000,236460000,266580000,195940000
P62196,22728000,170960000,235030000,88056000,153790000,34668000
P62242,3419299999.9999995,3799399999.999999,3867099999.999999,1677199999.9999998,1976000000,1915100000
P62245,349520000,553980000,503650000,669720000,NA,NA
P62259,1669699999.9999998,1514899999.9999998,2073300000,1116100000,1104500000,1257200000
P62264,1594299999.9999998,1388700000,1369900000,957420000,770240000,1053300000
P62267,641730000,905800000,223500000,145820000,150990000,NA
P62270,1113500000,711830000,861450000,987040000,977710000,623280000
P62281,1779799999.9999998,1931600000,2131700000,1723499999.9999998,215370000,1472999999.9999998
P62301,2512300000,2364200000,1807800000,918270000,347900000,775880000
P62305,96567000,419830000,358810000,119810000,362700000,283610000
P62307,116330000,148060000,150500000,101010000,103350000,144220000
P62309,48809000,79021000,NA,NA,34808000,25305000
P62315,167800000,NA,NA,NA,NA,NA
P62317,124930000,4792500000,84058000,164760000,385920000,321850000
P62320,739890000,341690000,390100000,598650000,685400000,708150000
P62322,NA,61573000,29903000,NA,NA,12271000
P62331,934870000,820700000,649760000,406180000,298420000,460220000
P62334,167350000,579900000,620110000,100980000,230540000,98953000
P62702,1706399999.9999998,3228299999.9999995,3152499999.9999995,849250000,899340000,997720000
P62717,1167900000,1239800000,1386000000,293790000,486040000,299390000
P68033;P62737;P63268;P68134,1123500000,4353700000,3734099999.999999,665080000,731510000,680800000
P62743,83569000,NA,NA,NA,28141000,48906000
P62751,2323900000,2340200000,1725699999.9999998,1042400000,822880000,758940000
P62754,1628199999.9999998,1759999999.9999998,1650499999.9999998,670510000,523740000,1034900000
P62774,NA,57363000,44251000,119790000,103210000,44181000
P62806,40326000000,44764000000,31764000000,17922000000,16420000000,12909000000
P62814,NA,49107000,NA,NA,NA,NA
P62821,735420000,827900000,918250000,449730000,53152000,590100000
P62827;Q61820,470230000,344030000,348770000,415470000,55037000,121180000
P62830,1456400000,1341000000,711870000,248410000,715510000,197580000
P62835;Q99JI6,371510000,129970000,335070000,181700000,171020000,164630000
P62843,597110000,668170000,603180000,NA,106410000,NA
P62849,496530000,507620000,525980000,51177000,76377000,223030000
P62852,632100000,745240000,757150000,1011000000,194390000,NA
P62855,1931700000,1765399999.9999998,1759799999.9999998,1559999999.9999998,1702099999.9999998,1353700000
P62858,617640000,958000000,863150000,372870000,368550000,452170000
P62862,618380000,538390000,549500000,557470000,574970000,633410000
P62869,NA,NA,NA,67451000,NA,268520000
P62878,NA,744240000,NA,466620000,NA,NA
P62880;P29387,211970000,245130000,307060000,11283000,NA,NA
P62889,580900000,112920000,549220000,83765000,179750000,193970000
P62897;CON__P62894;P00015,1195600000,1369500000,1568899999.9999998,850100000,1192500000,1280800000
P62900,1794899999.9999998,1996500000,1908100000,769980000,867930000,1003900000
P62908,4867800000,3979299999.999999,4822400000,2863600000,3016999999.9999995,3089299999.9999995
P62911,192940000,273290000,382410000,43190000,44422000,NA
P62918,1490099999.9999998,945100000,221290000,985070000,1075900000,617310000
P62960;Q9Z2C8;Q9JKB3,874590000,970600000,1107800000,382800000,566430000,298250000
P62962;CON__P02584,1698799999.9999998,1194000000,1720699999.9999998,951550000,851400000,958980000
P62996,305650000,140120000,245660000,86162000,128050000,97552000
P63001;Q05144;P60764,NA,141990000,136900000,75623000,NA,40931000
P63017;P17156,12558000000,13683000000,13287000000,10793000000,9990500000,9727100000
P63024;P63044,61838000,58358000,85411000,NA,39217000,47282000
P63028,156710000,328050000,258980000,12397000,NA,12223000
P63030,516620000,523790000,536730000,701650000,665510000,451990000
P63037,305860000,513650000,476160000,721870000,866420000,938500000
P63038,26309000000,23643000000,25823000000,12916000000,13254000000,12367000000
P63087,85255000,53685000,NA,NA,NA,NA
P63094;Q6R0H7;P20612;Q3V3I2;P50149;P18872;B2RSH2;Q8CGK7,482180000,489280000,149660000,274760000,304390000,185530000
P63101,1923900000,1876800000,2240000000,1589199999.9999998,1489799999.9999998,1492199999.9999998
P63158,588170000,423430000,527320000,37250000,41986000,NA
P63242;Q8BGY2,203850000,305770000,132100000,75019000,NA,NA
P63260,709600000,712070000,677200000,20463000,25898000,50963000
P63276,2139100000,2233700000,1980100000,1560899999.9999998,1362400000,1643999999.9999998
P63323,857980000,910850000,985210000,162300000,308960000,206760000
P63325,486120000,400850000,413020000,498930000,623900000,475960000
P67778,5468500000,5811200000,5007000000,3987099999.999999,3919799999.999999,5930299999.999999
P67871,254840000,100490000,109320000,230700000,197540000,234970000
P67984,622070000,NA,894180000,121910000,104170000,146820000
P68037,104400000,21761000,27023000,NA,NA,NA
P68040,890460000,1598599999.9999998,1856300000,1095200000,1369400000,976220000
P68254,249460000,167820000,189260000,255320000,250720000,110430000
P68368,3915599999.999999,2258800000,3537799999.9999995,2250500000,2097900000,2330400000
P68369;P05214,NA,NA,NA,NA,64821000,NA
P68372;Q9D6F9;CON__ENSEMBL:ENSBTAP00000025008;A2AQ07,10923000000,10293000000,11046000000,8418599999.999999,8382699999.999999,9471200000
P68373;Q9JJZ2,15373000000,16115000000,15597000000,13041000000,12480000000,13535000000
P68510,119410000,21555000,38813000,228030000,74977000,131430000
P70121,NA,NA,NA,NA,NA,7690900
P70168,107060000,177030000,265710000,80817000,50362000,24325000
P70194,64357000,NA,32591000,NA,92403000,36778000
P70195,NA,17137000,NA,94571000,23814000,NA
P70245,632250000,615390000,620400000,1142600000,905070000,1054500000
P70266,36897000,NA,NA,NA,41022000,NA
P70274,NA,NA,NA,15824000,NA,NA
P70290,38476000,36539000,NA,19047000,19154000,24572000
P70296,333200000,135500000,246400000,652200000,591080000,777360000
P70297,NA,NA,NA,47458000,77882000,111050000
P70302,29172000,NA,NA,NA,NA,NA
P70318,NA,192700000,NA,183610000,160040000,177780000
P70333,961110000,748590000,859090000,1525999999.9999998,1290900000,1529999999.9999998
P70349,554430000,500060000,688700000,281330000,305550000,278670000
P70353,NA,NA,NA,17612000,62012000,20908000
P70372,206600000,271350000,293820000,121680000,NA,78706000
P70388,17837000,27147000,14562000,NA,13216000,14143000
P70398;F8VPU6,73188000,164580000,238660000,108850000,142020000,116400000
P70404,205540000,191830000,91156000,77721000,68569000,64859000
P70441,169260000,136310000,251530000,428310000,378720000,410780000
P70444,NA,NA,NA,NA,NA,41922000
P70452,NA,36436000,76869000,40614000,NA,35887000
Q60817;P70670,926910000,854640000,783320000,702920000,583620000,569190000
P70677,NA,NA,NA,18409000,NA,NA
P70694;Q91WR5;Q8K023,5207000000,6031099999.999999,4956900000,2332900000,3340599999.9999995,3581199999.9999995
P70697,38671000,NA,NA,31671000,30250000,32305000
P70699,NA,24036000,67857000,NA,NA,NA
P80313,1684099999.9999998,1498699999.9999998,1533299999.9999998,2106500000,2495700000,2129900000
P80314,3386599999.9999995,2598500000,2897000000,4081699999.999999,3987299999.999999,3704999999.999999
P80315,2605200000,1336400000,2387700000,3363499999.9999995,2939599999.9999995,3387799999.9999995
P80316,772330000,991790000,744210000,1071000000,1146800000,1106100000
P80317;Q61390,2265500000,1941800000,1639499999.9999998,1336000000,1452200000,1747799999.9999998
P80318,5128000000,4711900000,4171599999.999999,3818299999.999999,3834599999.999999,4566300000
P82198,2914000000,3749699999.999999,3904899999.999999,4357700000,5618700000,4829900000
P83882,254110000,NA,417550000,NA,NA,NA
P83940,NA,169840000,115260000,86177000,NA,NA
P84084,NA,NA,NA,63854000,74133000,NA
P84089,611640000,681170000,623630000,333010000,326500000,333590000
P84091,503670000,621410000,482340000,145500000,147610000,407970000
P84096,NA,NA,NA,NA,12824000,23727000
P84099,907270000,1946500000,1613799999.9999998,717210000,617210000,317740000
P84104,NA,192480000,233950000,NA,61044000,90987000
P85094,405540000,342850000,291400000,296970000,144160000,178550000
P97328,1019500000,501070000,812070000,851280000,1167200000,1256800000
P97351,3232099999.9999995,2199900000,3637999999.999999,2106300000,1994700000,2247200000
P97352,415740000,427900000,210170000,517290000,491180000,664160000
P97364,296440000,293220000,326310000,156460000,78066000,114130000
P97366,NA,NA,NA,37799000,NA,NA
P97370,63931000,132800000,19044000,NA,NA,25597000
P97371,544570000,513340000,283620000,220150000,46048000,407320000
P97379,40675000,61386000,202290000,15228000,20827000,18872000
P97384,NA,19717000,NA,195780000,185700000,67442000
P97429,121850000,83058000,83096000,450070000,40261000,705530000
P97434,NA,NA,NA,NA,NA,21101000
P97449,476620000,598810000,481330000,738020000,799470000,618340000
P97450,1940700000,1722399999.9999998,1842700000,1432600000,1429600000,1599899999.9999998
P97452,NA,NA,NA,NA,NA,40871000
P97461,1215200000,1758299999.9999998,1451500000,590390000,643350000,355200000
P97478,86148000,54514000,NA,NA,NA,NA
P97479,NA,44319000,NA,50753000,42527000,77939000
P97493,119460000,39127000,NA,NA,32564000,23860000
P97494,274880000,374750000,348010000,288410000,247130000,160240000
P97742,968850000,959050000,731490000,1593999999.9999998,1717299999.9999998,1827800000
P97792,70441000,26878000,31460000,NA,19544000,NA
P97807,1613099999.9999998,1970500000,1858200000,1793799999.9999998,1323000000,1541699999.9999998
P97823,252480000,157740000,139820000,124840000,152260000,348910000
P97855,154020000,NA,NA,26421000,63538000,20872000
P97872,3197499999.9999995,4683700000,4262199999.999999,4063999999.999999,3304099999.9999995,3138799999.9999995
P97873,544150000,613000000,414500000,267890000,474530000,307030000
P97927,1949200000,1811600000,1924000000,3049199999.9999995,2291700000,2467300000
P98078,NA,11425000,NA,NA,NA,NA
P99024,1155100000,1096700000,1072400000,877130000,1012300000,948880000
P99026,100890000,129020000,140080000,52787000,60680000,58917000
P99027,8248299999.999999,8365699999.999999,8869000000,4389000000,5444000000,5189500000
P99028,61577000,75117000,41352000,NA,42618000,NA
P99029,2656000000,2428900000,2732200000,1435700000,1282800000,1680699999.9999998
Q00519,73151000,169870000,85591000,301430000,142370000,150220000
Q00623;CON__P15497,748450000,61138000,253660000,177160000,63706000,150520000
Q00897,258470000,159610000,256730000,54770000,259060000,57787000
Q00898,362660000,761650000,323010000,NA,NA,NA
Q00PI9,494630000,324430000,560730000,99890000,97867000,201220000
Q01147,NA,NA,NA,NA,29043000,NA
Q01149,21428000000,22438000000,22438000000,13698000000,14440000000,14264000000
Q01279;P70424;Q61527,957300000,758540000,760790000,NA,NA,40306000
Q01405,371960000,564280000,366320000,1706499999.9999998,1981100000,1975800000
Q01730,NA,NA,34811000,60790000,79169000,14996000
Q01768,1937800000,1284100000,1612099999.9999998,904170000,907300000,930990000
Q01853,2831000000,3126999999.9999995,2657400000,1904800000,1757199999.9999998,1524799999.9999998
Q02013,453400000,449360000,487900000,202790000,268680000,455030000
Q02053;P31254,1721799999.9999998,1818400000,1393300000,614510000,598990000,541470000
Q02248,388800000,203920000,195440000,127470000,113480000,20653000
Q02257,416420000,166750000,117780000,145190000,199830000,219370000
Q02780;P97863;P70255;P70257,NA,NA,155920000,145940000,526500000,477790000
Q02788,74105000000,72108000000,73250000000,50848000000,37284000000,52413000000
Q02819,272410000,337940000,452440000,338600000,449330000,397520000
Q03172,33000000,NA,61008000,NA,NA,NA
Q03265,45587000000,46085000000,43278000000,36725000000,37873000000,37656000000
Q03311,NA,NA,NA,128730000,NA,103020000
Q04447,NA,NA,29551000,NA,NA,NA
Q04750,458780000,160560000,236260000,74748000,128460000,165440000
Q04857,111720000000,118270000000,111320000000,76326000000,72471000000,72946000000
Q05117,254350000,137320000,366880000,61658000,43851000,64560000
Q05421,4373700000,4763200000,5806200000,5520800000,6116899999.999999,4656000000
Q05793,85472000000,88492000000,87052000000,100170000000,112540000000,103650000000
Q05816,351170000,171520000,146310000,NA,NA,NA
Q05915,39774000,20270000,72666000,NA,108420000,73623000
Q05920,26303000000,27199000000,27858000000,42514000000,41457000000,41283000000
Q05D44,42525000,15821000,NA,37972000,10289000,56505000
Q06185,1374600000,1304400000,1318000000,1725899999.9999998,1737499999.9999998,1356600000
Q06890,1205300000,1219200000,1374300000,1831400000,1840600000,1710499999.9999998
Q07076,477270000,236140000,346100000,483860000,532030000,624680000
Q07417,2032200000,2322100000,1818900000,2510600000,2023700000,2711000000
Q07456,125950000,93515000,NA,75546000,73669000,96475000
Q07797,30041000,28850000,30035000,NA,28247000,24694000
Q07968,NA,NA,NA,NA,56139000,42041000
Q08857,NA,NA,NA,492090000,398360000,227710000
Q08943,465170000,408240000,354870000,28502000,29156000,NA
Q0VBL3,NA,16680000,NA,202660000,95491000,343800000
Q0VGY8,129740000,117250000,124520000,178180000,176360000,223950000
Q14C51,49997000,79750000,48768000,31820000,36124000,NA
Q14CH1,224080000,218820000,224400000,243830000,215880000,220540000
Q14DH7,NA,NA,NA,215970000,176470000,235320000
Q2TPA8,210090000,NA,NA,611280000,747160000,703720000
Q3SXB8,NA,NA,NA,NA,NA,43820000
Q3TC72,NA,70319000,66129000,NA,NA,44312000
Q3TCH7;A2A432,17425000,14831000,NA,NA,NA,NA
Q3TDD9,NA,28415000,NA,26050000,NA,24456000
Q3TDN2,91913000,NA,NA,22331000,30150000,82101000
Q3TEA8,NA,NA,NA,NA,16407000,NA
Q3THE2,865330000,688720000,514900000,728320000,1237400000,607140000
Q3THK7,NA,NA,NA,39593000,26045000,NA
Q3THS6,NA,55302000,68130000,35680000,57101000,38747000
Q3TJZ6;Q80VD1,183490000,118390000,129060000,317120000,310030000,173260000
Q3TKT4,8265700,NA,NA,NA,NA,NA
Q3TLP5,1037500000,1205000000,744770000,703630000,988030000,667110000
Q3TMH2,74670000,NA,44235000,NA,NA,5713600
Q3TNA1,551450000,730830000,815370000,568370000,675210000,762100000
Q3TWW8,27453000,61906000,NA,66026000,52606000,63837000
Q3TXS7,NA,115370000,78413000,NA,21265000,22056000
Q3TYG6,357940000,409560000,NA,383790000,400900000,354790000
Q3TZZ7,NA,NA,NA,NA,30325000,NA
Q3U0S6,NA,17053000,28528000,NA,NA,NA
Q3U0V1,618010000,301540000,755990000,413320000,907240000,948010000
Q3U1J4,NA,126190000,NA,135020000,134660000,153710000
Q3U2P1,993180000,1077100000,1322500000,2361100000,2212000000,2866500000
Q3U7R1,70347000,30564000,48020000,27285000,24593000,NA
Q3U962,588730000,1174300000,1080300000,314160000,262680000,206060000
Q3UBX0,NA,70892000,111980000,208610000,NA,265610000
Q3UEB3,76512000,89541000,64720000,21012000,15084000,NA
Q3UEG6,245990000,280230000,576650000,545930000,603790000,474160000
Q3UGC7;Q66JS6,124090000,128670000,222430000,150560000,193330000,154790000
Q3UHJ0,NA,NA,NA,69099000,NA,NA
Q3UHX2,117400000,NA,92893000,186870000,253500000,NA
Q3UIL6,NA,17162000,NA,10416000,11022000,NA
Q3UIR3,51694000,234180000,182240000,87126000,70148000,196680000
Q3UIU2,284270000,194190000,283200000,261880000,211090000,229850000
Q3UJB9,356510000,254330000,399740000,61282000,104460000,43998000
Q3UJU9,404430000,100740000,227190000,1219200000,1862900000,660210000
Q3UKJ7,NA,NA,25398000,NA,NA,NA
Q3ULD5,783120000,637860000,811480000,503060000,594430000,503790000
Q3UM45,22713000,NA,NA,NA,NA,NA
Q9D3R6;Q3UMC0,NA,365360000,NA,NA,337720000,317520000
Q3UMF0,81653000,32341000,58517000,54708000,103050000,124530000
Q3UNX5,125420000,138840000,112460000,311930000,167620000,115100000
Q3UNZ8,44717000,42662000,49028000,NA,66130000,41012000
Q3UPF5,56550000,NA,NA,21366000,29563000,20546000
Q3UPH1,NA,NA,NA,NA,38317000,100750000
Q3UPL0,1255000000,1265000000,2009300000,3064999999.9999995,3110599999.9999995,2981899999.9999995
Q3UQ28,NA,NA,NA,127510000,153770000,130110000
Q3UQ44,5590200000,5106500000,5978199999.999999,4859000000,4682100000,4697300000
Q3URE1,118100000,53792000,111040000,NA,20675000,10333000
Q3URQ0,NA,NA,40423000,NA,NA,NA
Q3UTJ2,585080000,503910000,946070000,1566099999.9999998,1536999999.9999998,1100900000
Q3UU96,NA,NA,NA,NA,39460000,NA
Q3UV17,663460000,840860000,652820000,281200000,273960000,348580000
Q3UVL4,NA,NA,NA,17122000,NA,NA
Q3UZZ6,NA,NA,126140000,NA,76875000,NA
Q3V0K9,NA,NA,NA,NA,NA,251410000
Q3V3R4,286860000,217200000,254840000,1181600000,843290000,877680000
Q4ACU6,1343700000,1678099999.9999998,1684199999.9999998,463440000,33678000,734280000
Q4LDG0,2615700000,2478100000,2804400000,1345200000,1452600000,1442600000
Q4PJX1,NA,NA,57212000,NA,NA,NA
Q4VA53,75642000,105230000,59391000,NA,NA,47049000
Q4VAC9,25320000,NA,NA,NA,NA,NA
Q501J6,739420000,792370000,659700000,861150000,1357900000,1083400000
Q52KI8,NA,65561000,52571000,33280000,28495000,34936000
Q569Z5,NA,NA,NA,39199000,49483000,NA
Q569Z6,132210000,118320000,NA,NA,NA,84775000
Q571F8,979550000,1092500000,1019700000,188580000,152420000,169980000
Q571H0,79108000,10202000,9226300,NA,NA,NA
Q571I9,46142000,NA,NA,48637000,30186000,51348000
Q5BLK4,NA,NA,NA,116360000,118310000,161690000
Q5EBG8,NA,NA,21841000,21436000,16871000,19012000
Q5F226,248300000,NA,98260000,NA,NA,NA
Q5F285,279710000,328420000,236490000,NA,NA,NA
Q5F2E8,NA,33328000,NA,NA,NA,NA
Q5FW57,950910000,405300000,451570000,864090000,797910000,566140000
Q5FW60,537600000,520580000,577950000,19460000,104170000,36519000
Q5RKZ7,42919000,NA,31652000,NA,28256000,27545000
Q5RL79,NA,NA,149740000,NA,NA,56501000
Q5SFM8,53686000,NA,31227000,19764000,118830000,159780000
Q5SS00,350960000,722110000,476120000,NA,NA,NA
Q5SSK3,52583000,45060000,24917000,NA,NA,NA
Q5SSN7,NA,NA,NA,31684000,30043000,24433000
Q5SUF2,NA,120520000,173810000,78308000,84311000,119680000
Q5SW19,146870000,64928000,172760000,35319000,61898000,28997000
Q5SWU9,339280000,295600000,467510000,173620000,365560000,287280000
Q5SYD0,NA,NA,NA,NA,15623000,NA
Q5U458,NA,NA,23009000,NA,51737000,NA
Q5U5V2,36686000,NA,NA,NA,NA,45865000
Q5XG73,194730000,88948000,95947000,169760000,230150000,50138000
Q5XJY4,NA,13666000,32014000,8426400,NA,NA
Q5XJY5,213170000,197020000,274650000,120390000,288040000,156720000
Q5XKN4,79187000,NA,NA,NA,NA,NA
Q5YD48,1134000000,1409800000,1456400000,1730299999.9999998,1922200000,1316000000
Q60575;P33173;O35071,68026000,NA,90710000,76517000,NA,NA
Q60597,1619399999.9999998,1745399999.9999998,1618699999.9999998,538790000,628040000,748690000
Q60598,NA,209420000,119400000,128770000,394410000,228430000
Q60605;Q8CI43,573280000,587400000,657550000,604500000,580500000,703170000
Q60634,NA,42593000,NA,NA,32135000,NA
Q60648,NA,59361000,75861000,16895000,12642000,NA
Q60649,NA,60979000,80015000,NA,NA,56464000
Q60668,872510000,1023200000,919410000,139360000,227000000,203080000
Q60670,1380900000,NA,1103800000,206920000,1138500000,1229900000
Q60675,NA,131360000,103530000,570360000,446700000,575020000
Q60692,18509000,223790000,306770000,265170000,141300000,135190000
Q60710,41435000,NA,29663000,NA,NA,NA
Q60737,413650000,410770000,550470000,250600000,137950000,330640000
Q60749;Q9R226;Q9WU01,NA,187460000,NA,271720000,281840000,250060000
Q60759,1789199999.9999998,2445800000,1995400000,1998700000,2050700000,1821100000
Q60766,197600000,341500000,517910000,NA,413890000,116420000
Q60847,1513499999.9999998,1788099999.9999998,1447700000,2839700000,2500600000,2176200000
Q60864,374030000,318330000,446700000,94631000,240580000,77475000
Q60865,272290000,424900000,680210000,747920000,823940000,761160000
Q60866,177310000,125870000,261540000,171960000,202660000,189680000
Q60902,NA,NA,NA,233790000,18414000,25987000
Q60930,1915500000,2225400000,1842500000,663750000,787470000,959460000
Q60931,2138600000,2178200000,2090500000,528040000,543650000,631100000
Q60932,4504800000,5609500000,5054500000,892000000,1461899999.9999998,2112000000
Q60936,376550000,360740000,446170000,98496000,281860000,181910000
Q60960,95381000,193350000,222460000,101790000,231020000,187760000
Q60972;Q60973,102060000,222380000,313900000,NA,50849000,43531000
Q60974,NA,NA,NA,NA,36959000,NA
Q60991,372130000,1196600000,724890000,NA,NA,NA
Q61001,14695000000,15742000000,16225000000,15830000000,17294000000,14232000000
Q61029,230930000,59422000,212700000,139880000,166540000,67507000
Q61033,NA,NA,NA,18851000,10632000,NA
Q61069,NA,NA,NA,NA,23111000,15238000
Q61081,30181000,165960000,206940000,98209000,215280000,25977000
Q61102,NA,95867000,96822000,31096000,33979000,25745000
Q61133,104610000,78010000,24317000,49448000,35733000,26098000
Q61136,43098000,32918000,63696000,NA,NA,NA
Q61142,NA,NA,NA,NA,10088000,NA
Q61147,NA,50236000,57073000,35542000,31212000,NA
Q61171,693490000,674800000,649620000,840460000,722850000,533760000
Q61176,57270000000,54387000000,57878000000,47951000000,43199000000,42305000000
Q61191,NA,NA,NA,NA,NA,32669000
Q61207,NA,NA,NA,143430000,115920000,47914000
Q61211,NA,NA,45556000,34670000,31648000,46638000
Q61233,160120000,451790000,306340000,137550000,184010000,131440000
Q61247,NA,NA,NA,98577000,46991000,114830000
Q61249,36149000,NA,NA,NA,38490000,36422000
Q61285,NA,NA,NA,20955000,13525000,36454000
Q61292,18740000000,21335000000,18389000000,23890000000,20976000000,21712000000
Q61301,NA,26600000,37943000,99279000,35019000,NA
Q61316,298730000,595910000,508400000,374830000,420170000,105070000
Q61335,450890000,565500000,580920000,206520000,279500000,330220000
Q61425,2218300000,2378200000,2438200000,3001899999.9999995,2980699999.9999995,2810000000
Q61490,111700000,NA,178650000,38746000,102440000,40124000
Q61508,100460000,NA,89685000,691730000,1126300000,669600000
Q61510,37282000,NA,NA,NA,NA,NA
Q61545,239970000,354430000,281270000,1061400000,942660000,1062700000
Q61550,NA,79944000,4482600,NA,NA,NA
Q61554,754360000,1042000000,1344400000,609220000,804370000,1068200000
Q61578,34677000,NA,NA,5339800,75408000,49293000
Q61581,NA,NA,15782000,24457000,37404000,NA
Q61584,108530000,346770000,277680000,353690000,172930000,239630000
Q61586,25074000,64721000,61757000,184840000,161960000,199330000
Q61598;P50396,555900000,659450000,757180000,234600000,279800000,196760000
Q61646,46173000,185940000,175060000,239580000,226760000,224580000
Q61655,67059000,NA,75006000,NA,NA,NA
Q61656,2415000000,3073799999.9999995,3233099999.9999995,4125799999.999999,3755599999.999999,4248999999.999999
Q61686,390450000,382290000,410220000,371240000,456900000,443680000
Q61694,1338600000,1852900000,1636699999.9999998,NA,NA,NA
Q61699,84870000,123170000,76449000,NA,11178000,29757000
Q61702;CON__Q0VCM5,616030000,514880000,685430000,1825000000,1576999999.9999998,1400700000
Q61703;CON__Q9TRI1,35376000,79252000,NA,49379000,40743000,45050000
Q61733,33376000,38112000,NA,NA,NA,24330000
Q61735,71675000,NA,NA,52294000,NA,42311000
Q61768;P28738;P33175,NA,NA,38356000,NA,NA,NA
Q61792,224550000,217710000,101750000,1099300000,788160000,814990000
Q61823,NA,NA,NA,NA,NA,20889000
Q61830,239890000,124200000,190710000,18684000,102340000,NA
Q61838,299700000,212390000,158400000,103560000,164660000,78399000
Q61878,NA,NA,NA,93298000,86697000,107670000
Q61937,6194099999.999999,5753100000,6288199999.999999,748480000,709330000,999990000
Q61990;P57722,1227300000,1364500000,1301200000,1048200000,1108400000,1015600000
Q62009;CON__Q2KJC7,117910000,69651000,81185000,352500000,428730000,316050000
Q62018,30392000,NA,NA,NA,NA,NA
Q62036,NA,NA,NA,16042000,NA,NA
Q62077,NA,NA,NA,30536000,12048000,NA
Q62086,NA,NA,NA,15228000,20183000,43357000
Q62087,348170000,174770000,452820000,256060000,168180000,305180000
Q62093,121300000,349480000,330450000,72140000,67882000,123430000
Q62095;Q61496,160340000,116020000,120590000,9766400,NA,NA
Q62120,254350000,NA,NA,NA,9666100,NA
Q62165,NA,NA,NA,NA,36172000,32674000
Q62167,1364200000,1660299999.9999998,2065500000,3232899999.9999995,3819799999.999999,2934399999.9999995
Q62186,1121700000,1208300000,1068600000,404750000,256100000,287580000
Q62189,279640000,93007000,240110000,401310000,150700000,81887000
Q62241,NA,120220000,76836000,84596000,68283000,83546000
Q62261,1149400000,1216600000,1012700000,1157900000,1273800000,879860000
Q62264,90576000,103620000,137030000,359790000,340030000,603410000
Q62318,67615000,43627000,27452000,100030000,105230000,42750000
Q62376,336940000,166030000,299340000,433240000,212850000,142420000
Q62392,140830000,76685000,92656000,NA,NA,NA
Q62417,417750000,721700000,864300000,1101000000,1148500000,1176300000
Q62418,64498000,76964000,85305000,168060000,178170000,217070000
Q62425,2172400000,2143200000,2614900000,1700399999.9999998,2034100000,1983800000
Q62426,134470000,NA,209250000,66477000,60866000,53411000
Q62432;Q8BUN5;Q9JIW5,45977000,NA,NA,63974000,61718000,56098000
Q62446,63158000,180660000,66653000,NA,NA,NA
Q62448,81586000,89343000,61188000,323740000,542340000,674050000
Q62452;Q6ZQM8,109730000,NA,125690000,NA,NA,NA
Q62465,NA,NA,NA,NA,18794000,NA
Q62507,NA,76908000,17181000,43238000,31278000,56660000
Q63836,23754000000,20203000000,22823000000,3021199999.9999995,2681600000,3337999999.9999995
Q63850,29002000,NA,NA,NA,NA,12958000
Q63880,14405000000,11878000000,12146000000,7445199999.999999,6789699999.999999,7395499999.999999
Q63886,2690100000,1803700000,3090399999.9999995,1562299999.9999998,1564799999.9999998,1605799999.9999998
Q63918,87231000,96327000,84325000,175720000,453210000,175810000
Q63961,NA,25277000,40415000,44189000,37166000,40627000
Q64012,226230000,188770000,196930000,155170000,135780000,97370000
Q640L5,86861000,89639000,106610000,157260000,533780000,128770000
Q640N1,16483000,NA,NA,NA,21440000,26028000
Q64105,1127300000,1229500000,1099300000,862210000,569330000,1147500000
Q64133,57388000,NA,NA,NA,NA,NA
Q64152,239930000,79619000,75574000,140750000,133620000,78945000
Q64176,128390000,87515000,114690000,191660000,177500000,139250000
Q64213,24773000,14717000,NA,42343000,44046000,35039000
Q64310,59295000,242000000,245370000,103680000,145800000,99950000
Q64331,130950000,124460000,76622000,NA,75118000,6019000
Q64374,7364499999.999999,8012699999.999999,6972999999.999999,6063799999.999999,6652499999.999999,6514599999.999999
Q64433,7014299999.999999,6049999999.999999,6429099999.999999,6041399999.999999,5880199999.999999,6072899999.999999
Q64435,1558399999.9999998,2261500000,1956900000,1349200000,961990000,755160000
Q64442,10168000000,9956400000,9488100000,10709000000,10729000000,10145000000
Q64458;P56656,1923200000,2114100000,2576100000,581780000,548290000,457530000
Q64459;Q9JMA7;Q64481,3095699999.9999995,2289400000,2928899999.9999995,271040000,640430000,343060000
Q64462,NA,49056000,NA,NA,NA,NA
Q64464,425340000,425910000,371240000,257120000,245530000,391630000
Q64471,317770000,498190000,426030000,114670000,159370000,202760000
Q64511,453300000,479840000,615810000,321600000,258000000,301910000
Q64514,148770000,49426000,130940000,NA,41518000,23212000
Q64516;Q9WU65,47200000,72283000,136030000,105330000,21493000,234240000
