protein,control_1,control_2,control_3,obesity_1,obesity_2,obesity_3
P15626,NA,NA,NA,107520000,NA,NA
P15864;Q07133,4919600000,6943999999.999999,7698399999.999999,2782500000,1096500000,5240600000
P16015,16941000000,12253000000,11026000000,13376000000,20918000000,20427000000
P16045,NA,NA,54355000,493820000,396630000,429690000
P16125,NA,13042000,NA,NA,NA,NA
P16254,NA,70208000,68997000,NA,NA,24987000
P16331,3625099999.999999,5417100000,4343100000,2181300000,1762099999.9999998,1905500000
P16332,1210500000,986710000,1194900000,625690000,495840000,564660000
P16406,NA,NA,17740000,83437000,159720000,149310000
P16460,24113000000,28247000000,26716000000,23362000000,19002000000,21049000000
P16546;P08032,4781600000,3683799999.999999,3786099999.999999,2697200000,2376200000,2772100000
P16627,91932000,149120000,124480000,NA,NA,NA
P16675,184380000,140810000,155700000,NA,3078400,32553000
P16858;Q64467,21463000000,23217000000,20967000000,10342000000,11620000000,10893000000
P17047,NA,NA,82451000,NA,NA,NA
P17182;P17183;P21550,12707000000,11747000000,10977000000,12348000000,12173000000,11198000000
P17225,2544100000,2513600000,3022799999.9999995,1509099999.9999998,1047100000,1111000000
P17426,184060000,76471000,67323000,122900000,26785000,155080000
P17427,238740000,497350000,351930000,449310000,652580000,543160000
P17439,52576000,NA,NA,NA,NA,NA
P17563,646290000,696980000,211780000,399340000,464040000,643980000
P17717,10308000000,12455000000,14829000000,5229100000,2746000000,2640000000
P17742,5486200000,3204699999.9999995,5778000000,1798099999.9999998,2059500000,1954500000
P17751,3026599999.9999995,3094799999.9999995,3205899999.9999995,1732799999.9999998,1212400000,1483199999.9999998
Q61696;P17879,1437400000,1519799999.9999998,1428200000,70193000,63510000,95284000
P18242,557180000,854140000,602870000,442800000,425000000,501170000
P18572,352820000,262440000,256500000,493350000,602040000,741300000
P18653;Q9WUT3;P18654,NA,77645000,NA,66357000,NA,118260000
P18760,439310000,482060000,1010400000,545590000,607170000,566240000
P19096,8223699999.999999,7080099999.999999,7677099999.999999,6302999999.999999,6229699999.999999,7243799999.999999
P19137,NA,NA,NA,481620000,242580000,281180000
P19157;P46425,38715000000,35479000000,34834000000,3993599999.999999,4076899999.999999,4263299999.999999
P19253,840990000,810380000,1359900000,57547000,NA,343330000
P19258,NA,NA,NA,NA,19430000,20937000
P19324,45947000,202600000,93547000,301640000,400730000,143940000
P19536,1238800000,2252000000,1859800000,2266900000,2514800000,1375900000
P19639,163510000,87251000,91850000,132140000,NA,82863000
P19783,2431000000,3755999999.999999,2494900000,2647400000,2759900000,3230899999.9999995
P20029,32339000000,33841000000,36566000000,18415000000,18209000000,17149000000
P20060,51478000,NA,NA,32562000,56832000,NA
P20065,NA,67053000,NA,NA,NA,NA
P20108,1259600000,1181700000,1284100000,1140700000,1229200000,933840000
P20152;P15331;P46660;P08551;P08553,3492799999.9999995,3498699999.9999995,3584099999.9999995,3001699999.9999995,3377899999.9999995,2001200000
P20852;P15392,359880000,365650000,340880000,557780000,553220000,517010000
P20918,NA,410730000,284980000,901820000,812470000,569880000
P21107,1487999999.9999998,1888300000,579460000,837760000,1141700000,1335800000
P21278;P21279;P30677,63334000,99810000,96737000,NA,NA,NA
P21440,23781000,39245000,41824000,83475000,87881000,138930000
P21614,92129000,99940000,204870000,NA,79602000,NA
P21619,166250000,277730000,203590000,62920000,72198000,39645000
P21981;Q9D7I9,38403000000,31745000000,43406000000,44014000000,40086000000,47295000000
P22315,445220000,459370000,612510000,134170000,313730000,86786000
P22599,274010000,570250000,494640000,104010000,110920000,254420000
P22892,NA,41313000,NA,NA,25704000,183730000
P23116,816130000,1122100000,1316300000,1290600000,841380000,1064000000
P23198;P83917,76981000,445260000,362900000,NA,31992000,NA
P23249,20660000,NA,NA,NA,19558000,NA
P23492,495200000,472930000,433170000,135170000,43479000,123890000
P23589,NA,NA,NA,52316000,65032000,52731000
P23708,NA,NA,NA,24856000,NA,36306000
P23881,39023000,44363000,NA,172790000,NA,192500000
P24270,32222000000,28808000000,31412000000,30219000000,28251000000,28305000000
